Province/State;Country/Region;Lat;Long;Date;Confirmed Cases;New Cases
Northern Territory;Australia;-12.4634;130.8456;2020-05-19;29;0
Queensland;Australia;-28.0167;153.4;2020-05-19;1058;1
South Australia;Australia;-34.9285;138.6007;2020-05-19;439;0
Tasmania;Australia;-41.4545;145.9707;2020-05-19;228;0
Victoria;Australia;-37.8136;144.9631;2020-05-19;1573;0
Western Australia;Australia;-31.9505;115.8605;2020-05-19;557;0
;Austria;47.5162;14.5501;2020-05-19;16321;52
;Azerbaijan;40.1431;47.5769;2020-05-19;3518;131
;Bahamas;25.0343;-77.3963;2020-05-19;96;0
;Bahrain;26.0275;50.55;2020-05-19;7532;348
;Bangladesh;23.685;90.3563;2020-05-19;25121;1251
;Barbados;13.1939;-59.5432;2020-05-19;90;2
;Belarus;53.7098;27.9534;2020-05-19;31508;936
;Belgium;50.8333;4.0;2020-05-19;55791;232
;Benin;9.3077;2.3158;2020-05-19;130;-209
;Bhutan;27.5142;90.4336;2020-05-19;21;0
;Bolivia;-16.2902;-63.5887;2020-05-19;4481;218
;Bosnia and Herzegovina;43.9159;17.6791;2020-05-19;2321;17
;Brazil;-14.235;-51.9253;2020-05-19;271885;16517
;Brunei;4.5353;114.7277;2020-05-19;141;0
;Bulgaria;42.7339;25.4858;2020-05-19;2259;24
;Burkina Faso;12.2383;-1.5616;2020-05-19;796;0
;Cabo Verde;16.5388;-23.0418;2020-05-19;335;7
;Cambodia;11.55;104.9167;2020-05-19;122;0
;Cameroon;3.8480000000000003;11.5021;2020-05-19;3529;0
Alberta;Canada;53.9333;-116.5765;2020-05-19;6716;33
British Columbia;Canada;49.2827;-123.1207;2020-05-19;2446;2
Grand Princess;Canada;37.6489;-122.6655;2020-05-19;13;0
Manitoba;Canada;53.7609;-98.8139;2020-05-19;290;0
New Brunswick;Canada;46.5653;-66.4619;2020-05-19;120;0
Newfoundland and Labrador;Canada;53.1355;-57.6604;2020-05-19;260;0
Nova Scotia;Canada;44.681999999999995;-63.7443;2020-05-19;1044;1
Ontario;Canada;51.2538;-85.3232;2020-05-19;24755;469
Prince Edward Island;Canada;46.5107;-63.4168;2020-05-19;27;0
Quebec;Canada;52.9399;-73.5491;2020-05-19;44206;570
Saskatchewan;Canada;52.9399;-106.4509;2020-05-19;599;7
;Central African Republic;6.6111;20.9394;2020-05-19;366;39
;Chad;15.4542;18.7322;2020-05-19;545;26
;Chile;-35.6751;-71.543;2020-05-19;49579;3520
Anhui;China;31.8257;117.2264;2020-05-19;991;0
Beijing;China;40.1824;116.4142;2020-05-19;593;0
Chongqing;China;30.0572;107.874;2020-05-19;579;0
Fujian;China;26.0789;117.9874;2020-05-19;356;0
Gansu;China;37.8099;101.0583;2020-05-19;139;0
Guangdong;China;23.3417;113.4244;2020-05-19;1590;0
Guangxi;China;23.8298;108.7881;2020-05-19;254;0
Guizhou;China;26.8154;106.8748;2020-05-19;147;0
Hainan;China;19.1959;109.7453;2020-05-19;169;0
Hebei;China;39.549;116.1306;2020-05-19;328;0
Heilongjiang;China;47.861999999999995;127.7615;2020-05-19;945;0
Henan;China;33.882;113.61399999999999;2020-05-19;1276;0
Hong Kong;China;22.3;114.2;2020-05-19;1055;0
Hubei;China;30.9756;112.2707;2020-05-19;68135;0
Hunan;China;27.6104;111.7088;2020-05-19;1019;0
Inner Mongolia;China;44.0935;113.9448;2020-05-19;216;0
Jiangsu;China;32.9711;119.455;2020-05-19;653;0
Jiangxi;China;27.614;115.7221;2020-05-19;937;0
Jilin;China;43.6661;126.1923;2020-05-19;151;0
Liaoning;China;41.2956;122.6085;2020-05-19;149;0
Macau;China;22.1667;113.55;2020-05-19;45;0
Ningxia;China;37.2692;106.1655;2020-05-19;75;0
Qinghai;China;35.7452;95.9956;2020-05-19;18;0
Shaanxi;China;35.1917;108.8701;2020-05-19;308;0
Shandong;China;36.3427;118.1498;2020-05-19;788;0
Shanghai;China;31.201999999999998;121.4491;2020-05-19;666;0
Shanxi;China;37.5777;112.2922;2020-05-19;198;0
Sichuan;China;30.6171;102.7103;2020-05-19;561;0
Tianjin;China;39.3054;117.323;2020-05-19;192;0
Tibet;China;31.6927;88.0924;2020-05-19;1;0
Xinjiang;China;41.1129;85.2401;2020-05-19;76;0
Yunnan;China;24.974;101.48700000000001;2020-05-19;185;0
Zhejiang;China;29.1832;120.0934;2020-05-19;1268;0
;Colombia;4.5709;-74.2973;2020-05-19;16935;640
;Congo (Brazzaville);-4.0383;21.7587;2020-05-19;420;8
;Congo (Kinshasa);-4.0383;21.7587;2020-05-19;1629;91
;Costa Rica;9.7489;-83.7534;2020-05-19;882;16
;Cote d'Ivoire;7.54;-5.5471;2020-05-19;2153;34
;Croatia;45.1;15.2;2020-05-19;2232;4
;Diamond Princess;0.0;0.0;2020-05-19;712;0
;Cuba;22.0;-80.0;2020-05-19;1887;6
;Cyprus;35.1264;33.4299;2020-05-19;918;1
;Czechia;49.8175;15.472999999999999;2020-05-19;8647;61
Faroe Islands;Denmark;61.8926;-6.9118;2020-05-19;187;0
Greenland;Denmark;71.7069;-42.6043;2020-05-19;11;0
;Denmark;56.2639;9.5018;2020-05-19;11044;76
;Djibouti;11.8251;42.5903;2020-05-19;1618;100
;Dominican Republic;18.7357;-70.1627;2020-05-19;13223;498
;Ecuador;-1.8312;-78.1834;2020-05-19;34151;569
;Egypt;26.0;30.0;2020-05-19;13484;720
;El Salvador;13.7942;-88.8965;2020-05-19;1498;85
;Equatorial Guinea;1.5;10.0;2020-05-19;825;106
;Eritrea;15.1794;39.7823;2020-05-19;39;0
;Estonia;58.5953;25.0136;2020-05-19;1791;7
;Eswatini;-26.5225;31.4659;2020-05-19;208;3
;Ethiopia;9.145;40.4897;2020-05-19;365;13
;Fiji;-17.7134;178.065;2020-05-19;18;0
;Finland;64.0;26.0;2020-05-19;6399;19
French Guiana;France;3.9339;-53.1258;2020-05-19;218;8
French Polynesia;France;-17.6797;149.4068;2020-05-19;60;0
Guadeloupe;France;16.25;-61.5833;2020-05-19;155;0
Mayotte;France;-12.8275;45.1662;2020-05-19;1370;0
New Caledonia;France;-20.9043;165.618;2020-05-19;18;0
Reunion;France;-21.1351;55.2471;2020-05-19;446;0
Saint Barthelemy;France;17.9;-62.8333;2020-05-19;6;0
St Martin;France;18.0708;-63.0501;2020-05-19;39;0
Martinique;France;14.6415;-61.0242;2020-05-19;192;0
;France;46.2276;2.2137;2020-05-19;178428;874
;Gabon;-0.8037;11.6094;2020-05-19;1502;70
;Gambia;13.4432;-15.3101;2020-05-19;24;0
;Georgia;42.3154;43.3569;2020-05-19;707;6
;Germany;51.0;9.0;2020-05-19;177778;1227
;Ghana;7.9465;-1.0232;2020-05-19;6096;361
;Greece;39.0742;21.8243;2020-05-19;2840;4
;Guatemala;15.7835;-90.2308;2020-05-19;2133;221
;Guinea;9.9456;-9.6966;2020-05-19;2863;67
;Guyana;5.0;-58.75;2020-05-19;125;1
;Haiti;18.9712;-72.2852;2020-05-19;533;0
;Holy See;41.9029;12.4534;2020-05-19;12;0
;Honduras;15.2;-86.2419;2020-05-19;2955;157
;Hungary;47.1625;19.5033;2020-05-19;3556;21
;Iceland;64.9631;-19.0208;2020-05-19;1802;0
;India;21.0;78.0;2020-05-19;106475;6147
;Indonesia;-0.7893;113.9213;2020-05-19;18496;486
;Iran;32.0;53.0;2020-05-19;124603;2111
;Iraq;33.0;44.0;2020-05-19;3611;57
;Ireland;53.1424;-7.6921;2020-05-19;24251;51
;Israel;31.0;35.0;2020-05-19;16659;16
;Italy;43.0;12.0;2020-05-19;226699;813
;Jamaica;18.1096;-77.2975;2020-05-19;520;0
;Japan;36.0;138.0;2020-05-19;16367;62
;Jordan;31.24;36.51;2020-05-19;649;20
;Kazakhstan;48.0196;66.9237;2020-05-19;6751;0
;Kenya;-0.0236;37.9062;2020-05-19;963;51
;Korea, South;36.0;128.0;2020-05-19;11110;32
;Kuwait;29.5;47.75;2020-05-19;16764;1073
;Kyrgyzstan;41.2044;74.7661;2020-05-19;1243;27
;Latvia;56.8796;24.6032;2020-05-19;1012;3
;Lebanon;33.8547;35.8623;2020-05-19;954;23
;Liberia;6.4281;-9.4295;2020-05-19;233;4
;Liechtenstein;47.14;9.55;2020-05-19;82;0
;Lithuania;55.1694;23.8813;2020-05-19;1562;15
;Luxembourg;49.8153;6.1296;2020-05-19;3958;11
;Madagascar;-18.7669;46.8691;2020-05-19;326;4
;Malaysia;2.5;112.5;2020-05-19;6978;37
;Maldives;3.2028;73.2207;2020-05-19;1143;37
;Malta;35.9375;14.3754;2020-05-19;569;11
;Mauritania;21.0079;10.9408;2020-05-19;131;50
;Mauritius;-20.2;57.5;2020-05-19;332;0
;Mexico;23.6345;-102.5528;2020-05-19;54346;2713
;Moldova;47.4116;28.3699;2020-05-19;6340;202
;Monaco;43.7333;7.4167;2020-05-19;97;0
;Mongolia;46.8625;103.8467;2020-05-19;140;0
;Montenegro;42.5;19.3;2020-05-19;324;0
;Morocco;31.7917;-7.0926;2020-05-19;7023;71
;Namibia;-22.9576;18.4904;2020-05-19;16;0
;Nepal;28.1667;84.25;2020-05-19;402;27
Aruba;Netherlands;12.5186;-70.0358;2020-05-19;101;0
Curacao;Netherlands;12.1696;-68.99;2020-05-19;16;0
Sint Maarten;Netherlands;18.0425;-63.0548;2020-05-19;77;0
;Netherlands;52.1326;5.2913;2020-05-19;44249;108
;New Zealand;-40.9006;174.886;2020-05-19;1503;4
;Nicaragua;12.8654;-85.2072;2020-05-19;254;229
;Niger;17.6078;8.0817;2020-05-19;914;5
;Nigeria;9.082;8.6753;2020-05-19;6401;226
;North Macedonia;41.6086;21.7453;2020-05-19;1839;22
;Norway;60.472;8.4689;2020-05-19;8267;10
;Oman;21.0;57.0;2020-05-19;5671;292
;Pakistan;30.3753;69.3451;2020-05-19;43966;1841
;Panama;8.538;-80.7821;2020-05-19;9867;141
;Papua New Guinea;-6.315;143.9555;2020-05-19;8;0
;Paraguay;-23.4425;-58.4438;2020-05-19;829;41
;Peru;-9.19;-75.0152;2020-05-19;99483;4550
;Philippines;13.0;122.0;2020-05-19;12942;224
;Poland;51.9194;19.1451;2020-05-19;19268;383
;Portugal;39.3999;-8.2245;2020-05-19;29432;223
;Qatar;25.3548;51.1839;2020-05-19;35606;1637
;Romania;45.9432;24.9668;2020-05-19;17191;155
;Russia;60.0;90.0;2020-05-19;299941;9263
;Rwanda;-1.9403;29.8739;2020-05-19;308;11
;Saint Lucia;13.9094;-60.9789;2020-05-19;18;0
;Saint Vincent and the Grenadines;12.9843;-61.2872;2020-05-19;17;0
;San Marino;43.9424;12.4578;2020-05-19;655;1
;Saudi Arabia;24.0;45.0;2020-05-19;59854;2509
;Senegal;14.4974;-14.4524;2020-05-19;2617;73
;Serbia;44.0165;21.0059;2020-05-19;10733;34
;Seychelles;-4.6796;55.492;2020-05-19;11;0
;Singapore;1.2833;103.8333;2020-05-19;28794;451
;Slovakia;48.669;19.699;2020-05-19;1495;0
;Slovenia;46.1512;14.9955;2020-05-19;1467;1
;Somalia;5.1521;46.1996;2020-05-19;1502;47
;South Africa;-30.5595;22.9375;2020-05-19;17200;767
;Spain;40.0;-4.0;2020-05-19;232037;431
;Sri Lanka;7.0;81.0;2020-05-19;1027;35
;Sudan;12.8628;30.2176;2020-05-19;2728;137
;Suriname;3.9193;-56.0278;2020-05-19;11;0
;Sweden;63.0;16.0;2020-05-19;30799;422
;Switzerland;46.8182;8.2275;2020-05-19;30618;21
;Taiwan*;23.7;121.0;2020-05-19;440;0
;Tanzania;-6.369;34.8888;2020-05-19;509;0
;Thailand;15.0;101.0;2020-05-19;3033;2
;Togo;8.6195;0.8248;2020-05-19;338;8
;Trinidad and Tobago;10.6918;-61.2225;2020-05-19;116;0
;Tunisia;34.0;9.0;2020-05-19;1044;1
;Turkey;38.9637;35.2433;2020-05-19;151615;1022
;Uganda;1.0;32.0;2020-05-19;260;12
;Ukraine;48.3794;31.1656;2020-05-19;18876;260
;United Arab Emirates;24.0;54.0;2020-05-19;25063;873
Bermuda;United Kingdom;32.3078;-64.7505;2020-05-19;125;0
Cayman Islands;United Kingdom;19.3133;-81.2546;2020-05-19;111;17
Channel Islands;United Kingdom;49.3723;-2.3644;2020-05-19;555;0
Gibraltar;United Kingdom;36.1408;-5.3536;2020-05-19;147;0
Isle of Man;United Kingdom;54.2361;-4.5481;2020-05-19;335;0
Montserrat;United Kingdom;16.7425;-62.1874;2020-05-19;11;0
;United Kingdom;55.3781;-3.4360000000000004;2020-05-19;248818;2412
;Uruguay;-32.5228;-55.7658;2020-05-19;738;1
;US;37.0902;-95.7129;2020-05-19;1528568;20260
;Uzbekistan;41.3775;64.5853;2020-05-19;2855;64
;Venezuela;6.4238;-66.5897;2020-05-19;749;131
;Vietnam;16.0;108.0;2020-05-19;324;0
;Zambia;-15.4167;28.2833;2020-05-19;772;11
;Zimbabwe;-20.0;30.0;2020-05-19;46;0
Diamond Princess;Canada;0.0;0.0;2020-05-19;1;0
;Dominica;15.415;-61.371;2020-05-19;16;0
;Grenada;12.1165;-61.678999999999995;2020-05-19;22;0
;Mozambique;-18.665695;35.529562;2020-05-19;146;1
;Syria;34.802075;38.99681500000001;2020-05-19;58;0
;Timor-Leste;-8.874217;125.727539;2020-05-19;24;0
;Belize;13.1939;-59.5432;2020-05-19;18;0
;Laos;19.856270000000002;102.495496;2020-05-19;19;0
;Libya;26.3351;17.228331;2020-05-19;68;3
;West Bank and Gaza;31.9522;35.2332;2020-05-19;391;3
;Guinea-Bissau;11.8037;-15.1804;2020-05-19;1038;6
;Mali;17.570692;-3.996166000000001;2020-05-19;901;27
;Saint Kitts and Nevis;17.357822;-62.782998;2020-05-19;15;0
Northwest Territories;Canada;64.8255;-124.8457;2020-05-19;5;0
Yukon;Canada;64.2823;-135.0;2020-05-19;11;0
;Kosovo;42.602636;20.902977;2020-05-19;989;34
;Burma;21.9162;95.956;2020-05-19;193;2
Anguilla;United Kingdom;18.2206;-63.0686;2020-05-19;3;0
British Virgin Islands;United Kingdom;18.4207;-64.64;2020-05-19;8;0
Turks and Caicos Islands;United Kingdom;21.69400000000001;-71.7979;2020-05-19;12;0
;MS Zaandam;0.0;0.0;2020-05-19;9;0
;Botswana;-22.3285;24.6849;2020-05-19;25;0
;Burundi;-3.3731;29.9189;2020-05-19;42;0
;Sierra Leone;8.460555000000001;-11.779889;2020-05-19;534;15
Bonaire, Sint Eustatius and Saba;Netherlands;12.1784;-68.2385;2020-05-19;6;0
;Malawi;-13.254307999999998;34.301525;2020-05-19;70;0
Falkland Islands (Malvinas);United Kingdom;-51.7963;-59.5236;2020-05-19;13;0
Saint Pierre and Miquelon;France;46.8852;-56.3159;2020-05-19;1;0
;South Sudan;6.8770000000000024;31.307;2020-05-19;290;0
;Western Sahara;24.2155;-12.8858;2020-05-19;6;0
;Sao Tome and Principe;0.18636;6.613081;2020-05-19;251;5
;Yemen;15.552726999999999;48.516388;2020-05-19;167;37
;Comoros;-11.6455;43.3333;2020-05-19;11;0
;Tajikistan;38.861034000000004;71.276093;2020-05-19;1936;207
;Lesotho;-29.609988;28.233608;2020-05-19;1;0
;Afghanistan;33.0;65.0;2020-05-20;8145;492
;Albania;41.1533;20.1683;2020-05-20;964;15
;Algeria;28.0339;1.6596;2020-05-20;7542;165
;Andorra;42.5063;1.5218;2020-05-20;762;1
;Angola;-11.2027;17.8739;2020-05-20;52;0
;Antigua and Barbuda;17.0608;-61.7964;2020-05-20;25;0
;Argentina;-38.4161;-63.6167;2020-05-20;9283;474
;Armenia;40.0691;45.0382;2020-05-20;5271;230
Australian Capital Territory;Australia;-35.4735;149.0124;2020-05-20;107;0
New South Wales;Australia;-33.8688;151.2093;2020-05-20;3082;1
Northern Territory;Australia;-12.4634;130.8456;2020-05-20;29;0
Queensland;Australia;-28.0167;153.4;2020-05-20;1058;0
South Australia;Australia;-34.9285;138.6007;2020-05-20;439;0
Tasmania;Australia;-41.4545;145.9707;2020-05-20;228;0
Victoria;Australia;-37.8136;144.9631;2020-05-20;1581;8
Western Australia;Australia;-31.9505;115.8605;2020-05-20;557;0
;Austria;47.5162;14.5501;2020-05-20;16353;32
;Azerbaijan;40.1431;47.5769;2020-05-20;3631;113
;Bahamas;25.0343;-77.3963;2020-05-20;97;1
;Bahrain;26.0275;50.55;2020-05-20;7888;356
;Bangladesh;23.685;90.3563;2020-05-20;26738;1617
;Barbados;13.1939;-59.5432;2020-05-20;90;0
;Belarus;53.7098;27.9534;2020-05-20;32426;918
;Belgium;50.8333;4.0;2020-05-20;55983;192
;Benin;9.3077;2.3158;2020-05-20;130;0
;Bhutan;27.5142;90.4336;2020-05-20;21;0
;Bolivia;-16.2902;-63.5887;2020-05-20;4919;438
;Bosnia and Herzegovina;43.9159;17.6791;2020-05-20;2338;17
;Brazil;-14.235;-51.9253;2020-05-20;291579;19694
;Brunei;4.5353;114.7277;2020-05-20;141;0
;Bulgaria;42.7339;25.4858;2020-05-20;2292;33
;Burkina Faso;12.2383;-1.5616;2020-05-20;809;13
;Cabo Verde;16.5388;-23.0418;2020-05-20;349;14
;Cambodia;11.55;104.9167;2020-05-20;122;0
;Cameroon;3.8480000000000003;11.5021;2020-05-20;3733;204
Alberta;Canada;53.9333;-116.5765;2020-05-20;6735;19
British Columbia;Canada;49.2827;-123.1207;2020-05-20;2467;21
Grand Princess;Canada;37.6489;-122.6655;2020-05-20;13;0
Manitoba;Canada;53.7609;-98.8139;2020-05-20;290;0
New Brunswick;Canada;46.5653;-66.4619;2020-05-20;120;0
Newfoundland and Labrador;Canada;53.1355;-57.6604;2020-05-20;260;0
Nova Scotia;Canada;44.681999999999995;-63.7443;2020-05-20;1045;1
Ontario;Canada;51.2538;-85.3232;2020-05-20;25197;442
Prince Edward Island;Canada;46.5107;-63.4168;2020-05-20;27;0
Quebec;Canada;52.9399;-73.5491;2020-05-20;44784;578
Saskatchewan;Canada;52.9399;-106.4509;2020-05-20;620;21
;Central African Republic;6.6111;20.9394;2020-05-20;418;52
;Chad;15.4542;18.7322;2020-05-20;565;20
;Chile;-35.6751;-71.543;2020-05-20;53617;4038
Anhui;China;31.8257;117.2264;2020-05-20;991;0
Beijing;China;40.1824;116.4142;2020-05-20;593;0
Chongqing;China;30.0572;107.874;2020-05-20;579;0
Fujian;China;26.0789;117.9874;2020-05-20;356;0
Gansu;China;37.8099;101.0583;2020-05-20;139;0
Guangdong;China;23.3417;113.4244;2020-05-20;1590;0
Guangxi;China;23.8298;108.7881;2020-05-20;254;0
Guizhou;China;26.8154;106.8748;2020-05-20;147;0
Hainan;China;19.1959;109.7453;2020-05-20;169;0
Hebei;China;39.549;116.1306;2020-05-20;328;0
Heilongjiang;China;47.861999999999995;127.7615;2020-05-20;945;0
Henan;China;33.882;113.61399999999999;2020-05-20;1276;0
Hong Kong;China;22.3;114.2;2020-05-20;1055;0
Hubei;China;30.9756;112.2707;2020-05-20;68135;0
Hunan;China;27.6104;111.7088;2020-05-20;1019;0
Inner Mongolia;China;44.0935;113.9448;2020-05-20;216;0
Jiangsu;China;32.9711;119.455;2020-05-20;653;0
Jiangxi;China;27.614;115.7221;2020-05-20;937;0
Jilin;China;43.6661;126.1923;2020-05-20;151;0
Liaoning;China;41.2956;122.6085;2020-05-20;149;0
Macau;China;22.1667;113.55;2020-05-20;45;0
Ningxia;China;37.2692;106.1655;2020-05-20;75;0
Qinghai;China;35.7452;95.9956;2020-05-20;18;0
Shaanxi;China;35.1917;108.8701;2020-05-20;308;0
Shandong;China;36.3427;118.1498;2020-05-20;788;0
Shanghai;China;31.201999999999998;121.4491;2020-05-20;666;0
Shanxi;China;37.5777;112.2922;2020-05-20;198;0
Sichuan;China;30.6171;102.7103;2020-05-20;561;0
Tianjin;China;39.3054;117.323;2020-05-20;192;0
Tibet;China;31.6927;88.0924;2020-05-20;1;0
Xinjiang;China;41.1129;85.2401;2020-05-20;76;0
Yunnan;China;24.974;101.48700000000001;2020-05-20;185;0
Zhejiang;China;29.1832;120.0934;2020-05-20;1268;0
;Colombia;4.5709;-74.2973;2020-05-20;17687;752
;Congo (Brazzaville);-4.0383;21.7587;2020-05-20;420;0
;Congo (Kinshasa);-4.0383;21.7587;2020-05-20;1731;102
;Costa Rica;9.7489;-83.7534;2020-05-20;897;15
;Cote d'Ivoire;7.54;-5.5471;2020-05-20;2231;78
;Croatia;45.1;15.2;2020-05-20;2234;2
;Diamond Princess;0.0;0.0;2020-05-20;712;0
;Cuba;22.0;-80.0;2020-05-20;1900;13
;Cyprus;35.1264;33.4299;2020-05-20;922;4
;Czechia;49.8175;15.472999999999999;2020-05-20;8721;74
Faroe Islands;Denmark;61.8926;-6.9118;2020-05-20;187;0
Greenland;Denmark;71.7069;-42.6043;2020-05-20;11;0
;Denmark;56.2639;9.5018;2020-05-20;11117;73
;Djibouti;11.8251;42.5903;2020-05-20;1828;210
;Dominican Republic;18.7357;-70.1627;2020-05-20;13477;254
;Ecuador;-1.8312;-78.1834;2020-05-20;34854;703
;Egypt;26.0;30.0;2020-05-20;14229;745
;El Salvador;13.7942;-88.8965;2020-05-20;1571;73
;Equatorial Guinea;1.5;10.0;2020-05-20;890;65
;Eritrea;15.1794;39.7823;2020-05-20;39;0
;Estonia;58.5953;25.0136;2020-05-20;1794;3
;Eswatini;-26.5225;31.4659;2020-05-20;217;9
;Ethiopia;9.145;40.4897;2020-05-20;389;24
;Fiji;-17.7134;178.065;2020-05-20;18;0
;Finland;64.0;26.0;2020-05-20;6443;44
French Guiana;France;3.9339;-53.1258;2020-05-20;237;19
French Polynesia;France;-17.6797;149.4068;2020-05-20;60;0
Guadeloupe;France;16.25;-61.5833;2020-05-20;155;0
Mayotte;France;-12.8275;45.1662;2020-05-20;1475;105
New Caledonia;France;-20.9043;165.618;2020-05-20;18;0
Reunion;France;-21.1351;55.2471;2020-05-20;447;1
Saint Barthelemy;France;17.9;-62.8333;2020-05-20;6;0
St Martin;France;18.0708;-63.0501;2020-05-20;40;1
Martinique;France;14.6415;-61.0242;2020-05-20;192;0
;France;46.2276;2.2137;2020-05-20;179069;641
;Gabon;-0.8037;11.6094;2020-05-20;1567;65
;Gambia;13.4432;-15.3101;2020-05-20;24;0
;Georgia;42.3154;43.3569;2020-05-20;713;6
;Germany;51.0;9.0;2020-05-20;178473;695
;Ghana;7.9465;-1.0232;2020-05-20;6269;173
;Greece;39.0742;21.8243;2020-05-20;2850;10
;Guatemala;15.7835;-90.2308;2020-05-20;2265;132
;Guinea;9.9456;-9.6966;2020-05-20;2863;0
;Guyana;5.0;-58.75;2020-05-20;125;0
;Haiti;18.9712;-72.2852;2020-05-20;596;63
;Holy See;41.9029;12.4534;2020-05-20;12;0
;Honduras;15.2;-86.2419;2020-05-20;2955;0
;Hungary;47.1625;19.5033;2020-05-20;3598;42
;Iceland;64.9631;-19.0208;2020-05-20;1803;1
;India;21.0;78.0;2020-05-20;112028;5553
;Indonesia;-0.7893;113.9213;2020-05-20;19189;693
;Iran;32.0;53.0;2020-05-20;126949;2346
;Iraq;33.0;44.0;2020-05-20;3724;113
;Ireland;53.1424;-7.6921;2020-05-20;24315;64
;Israel;31.0;35.0;2020-05-20;16667;8
;Italy;43.0;12.0;2020-05-20;227364;665
;Jamaica;18.1096;-77.2975;2020-05-20;529;9
;Japan;36.0;138.0;2020-05-20;16367;0
;Jordan;31.24;36.51;2020-05-20;672;23
;Kazakhstan;48.0196;66.9237;2020-05-20;6969;218
;Kenya;-0.0236;37.9062;2020-05-20;1029;66
;Korea, South;36.0;128.0;2020-05-20;11122;12
;Kuwait;29.5;47.75;2020-05-20;17568;804
;Kyrgyzstan;41.2044;74.7661;2020-05-20;1270;27
;Latvia;56.8796;24.6032;2020-05-20;1016;4
;Lebanon;33.8547;35.8623;2020-05-20;961;7
;Liberia;6.4281;-9.4295;2020-05-20;238;5
;Liechtenstein;47.14;9.55;2020-05-20;82;0
;Lithuania;55.1694;23.8813;2020-05-20;1577;15
;Luxembourg;49.8153;6.1296;2020-05-20;3971;13
;Madagascar;-18.7669;46.8691;2020-05-20;371;45
;Malaysia;2.5;112.5;2020-05-20;7009;31
;Maldives;3.2028;73.2207;2020-05-20;1186;43
;Malta;35.9375;14.3754;2020-05-20;584;15
;Mauritania;21.0079;10.9408;2020-05-20;141;10
;Mauritius;-20.2;57.5;2020-05-20;332;0
;Mexico;23.6345;-102.5528;2020-05-20;56594;2248
;Moldova;47.4116;28.3699;2020-05-20;6553;213
;Monaco;43.7333;7.4167;2020-05-20;97;0
;Mongolia;46.8625;103.8467;2020-05-20;140;0
;Montenegro;42.5;19.3;2020-05-20;324;0
;Morocco;31.7917;-7.0926;2020-05-20;7133;110
;Namibia;-22.9576;18.4904;2020-05-20;16;0
;Nepal;28.1667;84.25;2020-05-20;427;25
Aruba;Netherlands;12.5186;-70.0358;2020-05-20;101;0
Curacao;Netherlands;12.1696;-68.99;2020-05-20;16;0
Sint Maarten;Netherlands;18.0425;-63.0548;2020-05-20;77;0
;Netherlands;52.1326;5.2913;2020-05-20;44447;198
;New Zealand;-40.9006;174.886;2020-05-20;1503;0
;Nicaragua;12.8654;-85.2072;2020-05-20;254;0
;Niger;17.6078;8.0817;2020-05-20;920;6
;Nigeria;9.082;8.6753;2020-05-20;6677;276
;North Macedonia;41.6086;21.7453;2020-05-20;1858;19
;Norway;60.472;8.4689;2020-05-20;8281;14
;Oman;21.0;57.0;2020-05-20;6043;372
;Pakistan;30.3753;69.3451;2020-05-20;45898;1932
;Panama;8.538;-80.7821;2020-05-20;9977;110
;Papua New Guinea;-6.315;143.9555;2020-05-20;8;0
;Paraguay;-23.4425;-58.4438;2020-05-20;833;4
;Peru;-9.19;-75.0152;2020-05-20;104020;4537
;Philippines;13.0;122.0;2020-05-20;13221;279
;Poland;51.9194;19.1451;2020-05-20;19739;471
;Portugal;39.3999;-8.2245;2020-05-20;29660;228
;Qatar;25.3548;51.1839;2020-05-20;37097;1491
;Romania;45.9432;24.9668;2020-05-20;17387;196
;Russia;60.0;90.0;2020-05-20;308705;8764
;Rwanda;-1.9403;29.8739;2020-05-20;314;6
;Saint Lucia;13.9094;-60.9789;2020-05-20;18;0
;Saint Vincent and the Grenadines;12.9843;-61.2872;2020-05-20;18;1
;San Marino;43.9424;12.4578;2020-05-20;656;1
;Saudi Arabia;24.0;45.0;2020-05-20;62545;2691
;Senegal;14.4974;-14.4524;2020-05-20;2714;97
;Serbia;44.0165;21.0059;2020-05-20;10833;100
;Seychelles;-4.6796;55.492;2020-05-20;11;0
;Singapore;1.2833;103.8333;2020-05-20;29364;570
;Slovakia;48.669;19.699;2020-05-20;1496;1
;Slovenia;46.1512;14.9955;2020-05-20;1468;1
;Somalia;5.1521;46.1996;2020-05-20;1573;71
;South Africa;-30.5595;22.9375;2020-05-20;18003;803
;Spain;40.0;-4.0;2020-05-20;232555;518
;Sri Lanka;7.0;81.0;2020-05-20;1028;1
;Sudan;12.8628;30.2176;2020-05-20;2728;0
;Suriname;3.9193;-56.0278;2020-05-20;11;0
;Sweden;63.0;16.0;2020-05-20;31523;724
;Switzerland;46.8182;8.2275;2020-05-20;30658;40
;Taiwan*;23.7;121.0;2020-05-20;440;0
;Tanzania;-6.369;34.8888;2020-05-20;509;0
;Thailand;15.0;101.0;2020-05-20;3034;1
;Togo;8.6195;0.8248;2020-05-20;340;2
;Trinidad and Tobago;10.6918;-61.2225;2020-05-20;116;0
;Tunisia;34.0;9.0;2020-05-20;1045;1
;Turkey;38.9637;35.2433;2020-05-20;152587;972
;Uganda;1.0;32.0;2020-05-20;264;4
;Ukraine;48.3794;31.1656;2020-05-20;19230;354
;United Arab Emirates;24.0;54.0;2020-05-20;26004;941
Bermuda;United Kingdom;32.3078;-64.7505;2020-05-20;125;0
